dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,run_time,blackbox_test_acc,opt_C_robust,opt_K_robust
compas,0,42,0,4,0,"[21, 1, 0, 1, 1, 0, 1, 0, 1, 3]",1,1,"[21, 1, 0, 1, 1, 0, 1, 0, 1, 3]",1,False,1137.891,0.8025,False,0
compas,0,42,0,4,1,"[21, 1, 0, 1, 1, 0, 1, 0, 1, 3]",1,1,"[21, 1, 0, 1, 1, 0, 1, 0, 1, 3]",1,False,2011.393,0.8025,False,0
compas,0,42,0,4,2,"[21, 1, 0, 1, 1, 0, 1, 0, 1, 3]",1,1,"[21, 1, 0, -15, 1, 0, 1, 0, 1, 3]",1,False,1520.974,0.8025,False,0
compas,0,42,0,9,0,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[30, 1, 2, 23, 0, 0, 1, 0, 1, 44]",1,False,1438.605,0.8025,False,0
compas,0,42,0,9,1,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[18, 1, 2, 24, 0, 0, 1, 0, 1, 44]",1,False,1967.17,0.8025,False,0
compas,0,42,0,9,2,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[30, 1, 2, 24, 0, 0, 1, 0, 1, 44]",1,False,1395.336,0.8025,False,0
compas,0,42,0,15,0,"[27, 1, 0, 15, 1, 0, 1, 0, 1, 1]",1,1,"[27, 1, 0, 22, 1, 0, 1, 0, 1, 1]",1,False,1943.4,0.8025,False,0
compas,0,42,0,15,1,"[27, 1, 0, 15, 1, 0, 1, 0, 1, 1]",1,1,"[27, 1, 0, 23, 1, 0, 1, 0, 1, 1]",1,False,1607.266,0.8025,False,0
compas,0,42,0,15,2,"[27, 1, 0, 15, 1, 0, 1, 0, 1, 1]",1,1,"[27, 1, 0, 24, 1, 0, 1, 0, 1, 1]",1,False,1934.171,0.8025,False,0
compas,0,42,0,18,0,"[25, 1, 0, 14, 1, 0, 1, 1, 1, 7]",1,1,"[25, 1, 0, 23, 1, 0, 1, 1, 1, 7]",1,False,1914.573,0.8025,False,0
compas,0,42,0,18,1,"[25, 1, 0, 14, 1, 0, 1, 1, 1, 7]",1,1,"[25, 1, 0, 24, 1, 0, 1, 1, 1, 7]",1,False,2013.063,0.8025,False,0
compas,0,42,0,18,2,"[25, 1, 0, 14, 1, 0, 1, 1, 1, 7]",1,1,"[25, 1, 0, 26, 1, 0, 1, 1, 1, 7]",1,False,1990.556,0.8025,False,0
compas,0,42,0,27,0,"[26, 0, 0, 2, 1, 1, 1, 0, 1, 0]",1,0,"[26, 0, 0, 2, 1, 1, 1, 0, 1, 0]",1,False,1487.286,0.8025,False,0
compas,0,42,0,27,1,"[26, 0, 0, 2, 1, 1, 1, 0, 1, 0]",1,0,"[26, 0, 0, 2, 1, 1, 1, 0, 1, 0]",1,False,1943.918,0.8025,False,0
compas,0,42,0,27,2,"[26, 0, 0, 2, 1, 1, 1, 0, 1, 0]",1,0,"[26, 0, 0, 2, 1, 1, 1, 0, 1, 0]",1,False,1941.733,0.8025,False,0
