dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
compas,0,42,2,3,0,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[51.02430944578493, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,False,False,0,10.986,0.7825,rf,0.029297938348518206,0.06464896917425911
compas,0,42,2,3,1,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[51.152801306993894, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,False,False,0,11.196,0.7825,rf,0.02945463574023646,0.06472731787011823
compas,0,42,2,3,2,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[51.01834993798104, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,False,False,0,11.18,0.7825,rf,0.029290670656074443,0.06464533532803722
compas,0,42,2,3,3,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[51.067526382444804, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,False,False,0,11.152,0.7825,rf,0.02935064192981074,0.06467532096490537
compas,0,42,2,3,4,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[51.001872057120906, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,False,False,0,11.328,0.7825,rf,0.02927057567941574,0.06463528783970787
compas,0,42,2,5,0,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,False,False,0,10.066,0.7825,rf,0.002,0.051000000000000004
compas,0,42,2,5,1,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[24.50121746892, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,False,False,0,10.105,0.7825,rf,0.004269777401121951,0.05213488870056098
compas,0,42,2,5,2,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[24.500430362618047, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,False,False,0,10.074,0.7825,rf,0.004268817515387863,0.052134408757693936
compas,0,42,2,5,3,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[24.50473534953705, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,False,False,0,10.139,0.7825,rf,0.004274067499435427,0.05213703374971772
compas,0,42,2,5,4,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[24.50723282272181, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,False,False,0,10.104,0.7825,rf,0.004277113198441233,0.05213855659922062
compas,0,42,2,8,0,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[25.502852116949338, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,False,False,0,11.132,0.7825,rf,0.004271770874328461,0.052135885437164235
compas,0,42,2,8,1,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[25.51385937932883, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,False,False,0,11.109,0.7825,rf,0.00428519436503516,0.05214259718251758
compas,0,42,2,8,2,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[25.50856895840451, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,False,False,0,11.024,0.7825,rf,0.004278742632200622,0.052139371316100316
compas,0,42,2,8,3,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[25.510364037815528, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,False,False,0,11.155,0.7825,rf,0.00428093175343357,0.052140465876716786
compas,0,42,2,8,4,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[25.513940915167645, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,False,False,0,11.053,0.7825,rf,0.004285293798984932,0.05214264689949247
compas,0,42,2,15,0,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 8.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,False,False,0,11.402,0.7825,rf,8.333333333333334e-05,0.05004166666666667
compas,0,42,2,15,1,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.00419692213787, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,False,False,0,11.713,0.7825,rf,5.118197729108046e-06,0.05000255909886456
compas,0,42,2,15,2,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.054224718029843, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,False,False,0,11.922,0.7825,rf,6.612770491444291e-05,0.050033063852457225
compas,0,42,2,15,3,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 8.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,False,False,0,11.762,0.7825,rf,8.333333333333334e-05,0.05004166666666667
compas,0,42,2,15,4,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.02766083135156, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,False,False,0,11.777,0.7825,rf,3.373272116044018e-05,0.050016866360580226
compas,0,42,2,19,0,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.04272649329318, 1.0, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,11.216,0.7825,rf,5.210547962582996e-05,0.05002605273981292
compas,0,42,2,19,1,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.01794141033854, 1.0, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,11.373,0.7825,rf,2.187976870553282e-05,0.05001093988435277
compas,0,42,2,19,2,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.00666779948439, 1.0, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,11.408,0.7825,rf,8.131462785841467e-06,0.050004065731392926
compas,0,42,2,19,3,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.008037355341706, 1.0, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,11.324,0.7825,rf,9.801652855739186e-06,0.050004900826427875
compas,0,42,2,19,4,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.02546795506156, 1.0, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,10.935,0.7825,rf,3.10584817823875e-05,0.0500155292408912
compas,0,42,2,22,0,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 11.490539543031883, 178.0, 0.0, 1.0, 1.0, 1.0, 109.0]",0,False,False,0,10.643,0.7825,rf,0.0025094604569681177,0.05125473022848406
compas,0,42,2,22,1,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 11.484035191944306, 178.0, 0.0, 1.0, 1.0, 1.0, 109.0]",0,False,False,0,10.619,0.7825,rf,0.0025159648080556943,0.051257982404027846
