dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
compas,0,42,0,3,0,"[64, 1, 0, 13, 1, 0, 1, 0, 1, 1]",1,0,"[64.0, 1.0, 0.0, 12.997180044689763, 1.0116222461240625, 0.0, 1.0, 0.0, 0.0, 5.307543988648453]",0,True,True,64,49.673,nn,0.785,0.10036275047487463,0.25018137523743733
compas,0,42,0,3,1,"[64, 1, 0, 13, 1, 0, 1, 0, 1, 1]",1,0,"[64.0, 1.0, 0.0, 12.970277099535311, 3.6534904473042786, 0.0, 1.0, 0.0, 0.0, 11.627647216935312]",0,True,True,64,49.719,nn,0.785,0.10113648437248467,0.25056824218624235
compas,0,42,0,3,2,"[64, 1, 0, 13, 1, 0, 1, 0, 1, 1]",1,0,"[64.0, 1.0, 0.0, 13.018367543621466, 0.962641906626132, 0.0, 1.0, 0.0, 0.0, 1.1890688627463515]",0,True,True,64,49.243,nn,0.785,0.10003723645663148,0.2500186182283157
compas,0,42,0,3,3,"[64, 1, 0, 13, 1, 0, 1, 0, 1, 1]",1,0,"[64.0, 1.0, 0.0, 12.996288652829657, 0.01925630731329786, 0.0, 1.0, 0.0, 0.0, 2.882278786858874]",0,True,True,64,49.991,nn,0.785,0.10024229655379915,0.2501211482768996
compas,0,42,0,3,4,"[64, 1, 0, 13, 1, 0, 1, 0, 1, 1]",1,0,"[64.0, 1.0, 0.0, 12.980428930784395, 1.3679203110943265, 0.0, 1.0, 0.0, 0.0, 5.369636708856639]",0,True,True,64,48.888,nn,0.785,0.10041436748754484,0.25020718374377243
compas,0,42,0,9,0,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[41.223879184993784, 1.0, 2.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 574.9858583482475]",0,True,True,64,49.933,nn,0.785,0.15793647907169597,0.228968239535848
compas,0,42,0,9,1,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[44.18354268960021, 1.0, 2.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 522.142973896936]",0,True,True,64,50.205,nn,0.785,0.15714225110474495,0.2285711255523725
compas,0,42,0,9,2,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[30.340843286598002, 1.0, 2.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 576.8191736858253]",0,True,True,64,49.281,nn,0.785,0.14481726035178383,0.22240863017589194
compas,0,42,0,9,3,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[35.93695190898436, 1.0, 2.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 726.5033130843515]",0,True,True,64,50.606,nn,0.785,0.1641154613452216,0.23205773067261082
compas,0,42,0,9,4,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[34.043302238086916, 1.0, 2.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 586.3773848926248]",0,True,True,64,49.123,nn,0.785,0.15012897179562962,0.22506448589781483
