dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
compas,0,42,3,0,0,"[41, 1, 2, 14, 1, 0, 1, 0, 1, 6]",1,0,"[41, 1, 2, 10, 1, 0, 1, 0, 1, 6]",0,False,False,0,16.109,nn,0.78,0.004,0.052000000000000005
compas,0,42,3,0,1,"[41, 1, 2, 14, 1, 0, 1, 0, 1, 6]",1,0,"[41, 1, 2, 7, 1, 0, 1, 0, 1, 6]",0,False,False,0,16.185,nn,0.78,0.007000000000000001,0.053500000000000006
compas,0,42,3,0,2,"[41, 1, 2, 14, 1, 0, 1, 0, 1, 6]",1,0,"[41, 1, 2, 14, 3, 0, 1, 0, 1, 6]",0,False,False,0,16.323,nn,0.78,0.0001666666666666667,0.050083333333333334
compas,0,42,3,1,0,"[31, 1, 0, 7, 22, 0, 1, 0, 1, 3]",1,0,"[32, 1, 0, 6, 22, 0, 1, 0, 1, 3]",0,False,False,0,16.117,nn,0.78,0.002219512195121951,0.10110975609756098
compas,0,42,3,1,1,"[31, 1, 0, 7, 22, 0, 1, 0, 1, 3]",1,0,"[31, 1, 0, 5, 22, 0, 1, 0, 1, 3]",0,False,False,0,16.142,nn,0.78,0.002,0.051000000000000004
compas,0,42,3,1,2,"[31, 1, 0, 7, 22, 0, 1, 0, 1, 3]",1,0,"[31, 1, 0, 6, 3, 0, 1, 0, 1, 3]",0,False,False,0,17.248,nn,0.78,0.0025833333333333333,0.10129166666666667
compas,0,42,3,3,0,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[34, 1, 0, 6, 0, 0, 1, 0, 1, 11]",0,False,False,0,16.845,nn,0.78,0.016833333333333336,0.10841666666666668
compas,0,42,3,3,1,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[34, 1, 0, 28, 0, 0, 1, 0, 1, 48]",1,False,False,0,16.985,nn,0.78,0.00825,1.104125
compas,0,42,3,3,2,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[46, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,False,False,0,16.121,nn,0.78,0.014634146341463414,1.0573170731707318
compas,0,42,3,6,0,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35, 1, 0, 28, 1, 0, 1, 1, 1, 0]",1,False,False,0,16.585,nn,0.78,0.015,1.0575
compas,0,42,3,6,1,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35, 1, 0, 5, 1, 0, 1, 1, 1, 0]",0,False,False,0,16.385,nn,0.78,0.008,0.054000000000000006
compas,0,42,3,6,2,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35, 1, 0, 28, 1, 0, 1, 1, 1, 15]",1,False,False,0,16.349,nn,0.78,0.01625,1.108125
compas,0,42,3,10,0,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[63, 1, 0, 4, 38, 1, 1, 0, 1, 35]",0,False,False,0,16.142,nn,0.78,0.006,0.053000000000000005
compas,0,42,3,10,1,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[34, 1, 0, 10, 38, 1, 1, 0, 1, 35]",0,False,False,0,16.231,nn,0.78,0.03536585365853658,0.0676829268292683
compas,0,42,3,10,2,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 3]",0,False,False,0,16.311,nn,0.78,0.002666666666666667,0.051333333333333335
