dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss,sparsity
compas,0,42,3,3,0,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[59.64572334476338, 1.0, 0.0, 1.0294613665424057, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,False,64,213.161,0.7725,rf,0.05124581100512026,0.12562290550256014,0.8
compas,0,42,3,3,1,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[54.15515596560272, 1.0, 0.0, 1.3583701776072958, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,False,64,212.752,0.7725,rf,0.04422108831703017,0.12211054415851509,0.8
compas,0,42,3,3,2,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[53.13453387500925, 1.0, 0.0, 1.4076099420273467, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,False,64,212.49,0.7725,rf,0.042927187466520515,0.12146359373326027,0.8
compas,0,42,3,3,3,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[56.10080762609797, 1.0, 0.0, 1.4073846612159935, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,False,64,212.831,0.7725,rf,0.0465448197608547,0.12327240988042736,0.8
compas,0,42,3,3,4,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[60.22550808059717, 1.0, 0.0, 4.519838664887116, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,False,64,212.124,0.7725,rf,0.04846248826267041,0.12423124413133521,0.8
compas,0,42,3,6,0,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[48.68910499125689, 1.0, 0.0, 5.1839774276137645, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",0,True,False,64,219.458,0.7725,rf,0.024510053049528788,0.1122550265247644,0.8
compas,0,42,3,6,1,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[42.04211129633054, 1.0, 0.0, 1.5150232991334944, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",0,True,False,64,220.794,0.7725,rf,0.020072917306147655,0.11003645865307383,0.8
compas,0,42,3,6,2,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[50.93633986947584, 1.0, 0.0, 6.067172334108639, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",0,True,False,64,218.407,0.7725,rf,0.02636738848232531,0.11318369424116266,0.8
compas,0,42,3,6,3,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[48.98219591504941, 1.0, 0.0, 4.571068899652447, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",0,True,False,64,213.188,0.7725,rf,0.025480389533334636,0.11274019476666733,0.8
compas,0,42,3,6,4,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[54.6201661372767, 1.0, 0.0, 6.128337582824181, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",0,True,False,64,212.169,0.7725,rf,0.030798694291903503,0.11539934714595176,0.8
